Uniq_SampleID	Date of Collection
ME-HETL-J0222	9/24/20
ME-HETL-J0224	9/23/20
ME-HETL-J0225	9/24/20
ME-HETL-J0226	9/25/20
ME-HETL-J0227	9/25/20
ME-HETL-J0228	9/25/20
ME-HETL-J0229	9/25/20
ME-HETL-J0230	9/26/20
ME-HETL-J0232	9/25/20
ME-HETL-J0233	9/25/20
ME-HETL-J0234	9/25/20
ME-HETL-J0235	9/25/20
ME-HETL-J0237	9/26/20
ME-HETL-J0238	9/26/20
ME-HETL-J0239	9/27/20
ME-HETL-J0240	9/26/20
ME-HETL-J0241	9/26/20
ME-HETL-J0242	9/28/20
ME-HETL-J0243	9/26/20
ME-HETL-J0244	9/26/20
ME-HETL-J0246	9/28/20
ME-HETL-J0247	9/28/20
ME-HETL-J0248	9/28/20
ME-HETL-J0249	9/28/20
ME-HETL-J0250	9/28/20
ME-HETL-J0251	9/28/20
ME-HETL-J0256	9/28/20
ME-HETL-J0258	9/28/20
ME-HETL-J0259	9/29/20
ME-HETL-J0260	9/29/20
ME-HETL-J0261	9/29/20
ME-HETL-J0263	9/29/20
ME-HETL-J0264	9/29/20
ME-HETL-J0266	9/29/20
ME-HETL-J0267	9/29/20
ME-HETL-J0268	9/29/20
ME-HETL-J0269	10/1/20
ME-HETL-J0270	10/1/20
ME-HETL-J0271	9/30/20
ME-HETL-J0272	10/1/20
ME-HETL-J0273	10/1/20
ME-HETL-J0274	10/2/20
ME-HETL-J0275	10/3/20
ME-HETL-J0276	10/4/20
ME-HETL-J0277	10/4/20
ME-HETL-J0278	10/4/20
ME-HETL-J0279	10/4/20
ME-HETL-J0280	10/5/20
ME-HETL-J0281	10/5/20
ME-HETL-J0284	10/5/20
ME-HETL-J0285	10/5/20
ME-HETL-J0286	#N/A
ME-HETL-J0287	10/5/20
ME-HETL-J0288	10/5/20
ME-HETL-J0289	10/5/20
ME-HETL-J0290	10/5/20
ME-HETL-J0291	10/6/20
ME-HETL-J0294	11/30/20
ME-HETL-J0296	#N/A
ME-HETL-J0298	11/30/20
ME-HETL-J0299	11/30/20
ME-HETL-J0300	11/30/20
ME-HETL-J0301	11/30/20
ME-HETL-J0302	11/30/20
ME-HETL-J0303	12/1/20
ME-HETL-J0304	12/1/20
ME-HETL-J0306	12/1/20
ME-HETL-J0307	11/30/20
ME-HETL-J0308	11/30/20
ME-HETL-J0310	11/30/20
ME-HETL-J0311	11/30/20
ME-HETL-J0312	11/30/20
ME-HETL-J0313	11/30/20
ME-HETL-J0315	11/30/20
ME-HETL-J0316	11/30/20
ME-HETL-J0317	11/30/20
ME-HETL-J0318	11/30/20
ME-HETL-J0319	11/30/20
ME-HETL-J0320	11/30/20
ME-HETL-J0321	11/30/20
ME-HETL-J0322	11/30/20
ME-HETL-J0323	11/30/20
ME-HETL-J0324	11/30/20
ME-HETL-J0325	11/30/20
ME-HETL-J0327	11/30/20
ME-HETL-J0328	#N/A
ME-HETL-J0329	#N/A
ME-HETL-J0330	11/24/20
ME-HETL-J0331	11/24/20
ME-HETL-J0332	11/24/20
ME-HETL-J0333	11/24/20
ME-HETL-J0334	11/24/20
ME-HETL-J0335	#N/A
ME-HETL-J0336	11/24/20
ME-HETL-J0337	11/24/20
ME-HETL-J0338	11/24/20
ME-HETL-J0339	11/24/20
ME-HETL-J0340	11/24/20
ME-HETL-J0341	11/24/20
ME-HETL-J0344	11/24/20
ME-HETL-J0345	11/24/20
ME-HETL-J0346	11/24/20
ME-HETL-J0347	11/24/20
ME-HETL-J0349	11/23/20
ME-HETL-J0350	11/23/20
ME-HETL-J0351	11/23/20
ME-HETL-J0353	11/24/20
ME-HETL-J0354	#N/A
ME-HETL-J0355	11/24/20
ME-HETL-J0356	11/24/20
ME-HETL-J0357	11/24/20
ME-HETL-J0358	11/24/20
ME-HETL-J0359	11/30/20
ME-HETL-J0360	11/30/20
ME-HETL-J0361	11/30/20
ME-HETL-J0362	11/30/20
ME-HETL-J0363	11/30/20
ME-HETL-J0365	11/30/20
ME-HETL-J0366	11/30/20
ME-HETL-J0367	12/7/20
ME-HETL-J0368	12/9/20
ME-HETL-J0369	12/9/20
ME-HETL-J0370	12/9/20
ME-HETL-J0371	12/9/20
ME-HETL-J0373	12/10/20
ME-HETL-J0374	12/10/20
ME-HETL-J0375	12/9/20
ME-HETL-J0376	12/11/20
ME-HETL-J0379	12/11/20
ME-HETL-J0381	12/11/20
ME-HETL-J0383	12/11/20
ME-HETL-J0385	12/15/20
ME-HETL-J0387	12/15/20
ME-HETL-J0388	12/15/20
ME-HETL-J0389	12/15/20
ME-HETL-J0391	12/15/20
ME-HETL-J0393	12/15/20
ME-HETL-J0394	12/15/20
ME-HETL-J0395	12/15/20
ME-HETL-J0397	12/15/20
ME-HETL-J0398	12/15/20
ME-HETL-J0399	12/15/20
ME-HETL-J0400	12/15/20
ME-HETL-J0402	12/16/20
ME-HETL-J0403	12/16/20
ME-HETL-J0404	12/16/20
ME-HETL-J0406	12/16/20
ME-HETL-J0407	12/16/20
ME-HETL-J0408	12/16/20
ME-HETL-J0409	12/16/20
ME-HETL-J0410	12/16/20
ME-HETL-J0411	12/16/20
ME-HETL-J0414	12/18/20
ME-HETL-J0417	12/16/20
ME-HETL-J0418	12/16/20
ME-HETL-J0419	12/16/20
ME-HETL-J0420	12/16/20
ME-HETL-J0421	12/16/20
ME-HETL-J0422	12/16/20
ME-HETL-J0423	12/16/20
ME-HETL-J0425	12/16/20
ME-HETL-J0426	12/16/20
ME-HETL-J0427	12/16/20
ME-HETL-J0428	12/16/20
ME-HETL-J0430	12/16/20
ME-HETL-J0432	12/16/20
ME-HETL-J0433	12/16/20
ME-HETL-J0434	12/16/20
ME-HETL-J0435	12/17/20
ME-HETL-J0436	12/17/20
ME-HETL-J0437	12/17/20
ME-HETL-J0438	12/17/20
ME-HETL-J0440	12/17/20
ME-HETL-J0441	12/17/20
ME-HETL-J0442	12/17/20
ME-HETL-J0444	12/17/20
ME-HETL-J0445	12/17/20
ME-HETL-J0446	12/17/20
ME-HETL-J0447	12/17/20
ME-HETL-J0448	12/17/20
ME-HETL-J0449	12/18/20
ME-HETL-J0450	12/18/20
ME-HETL-J0451	12/17/20
ME-HETL-J0453	12/17/20
ME-HETL-J0456	12/3/20
ME-HETL-J0457	12/3/20
ME-HETL-J0458	12/3/20
ME-HETL-J0459	12/3/20
ME-HETL-J0461	12/16/20
ME-HETL-J0462	12/15/20
ME-HETL-J0463	12/15/20
ME-HETL-J0464	12/15/20
ME-HETL-J0466	12/14/20
ME-HETL-J0467	12/14/20
ME-HETL-J0468	12/14/20
ME-HETL-J0469	12/16/20
ME-HETL-J0470	12/11/20
ME-HETL-J0471	12/11/20
ME-HETL-J0472	12/11/20
ME-HETL-J0473	12/11/20
ME-HETL-J0474	12/11/20
ME-HETL-J0475	12/15/20
ME-HETL-J0477	12/15/20
ME-HETL-J0479	12/15/20
ME-HETL-J0480	12/15/20
ME-HETL-J0482	12/30/20
ME-HETL-J0483	12/30/20
ME-HETL-J0484	12/30/20
ME-HETL-J0485	12/30/20
ME-HETL-J0488	12/30/20
ME-HETL-J0489	12/30/20
ME-HETL-J0490	12/29/20
ME-HETL-J0491	12/29/20
ME-HETL-J0492	12/30/20
ME-HETL-J0493	12/31/20
ME-HETL-J0494	12/31/20
ME-HETL-J0495	12/31/20
ME-HETL-J0496	12/31/20
ME-HETL-J0497	12/28/20
ME-HETL-J0498	12/28/20
ME-HETL-J0499	12/28/20
ME-HETL-J0500	12/28/20
ME-HETL-J0501	12/28/20
