Sample	Date of Collection	Pangolin	Month	Week
ME-HETL-J7317	2021-09-15	AY.47	2021-9	2021-37
ME-HETL-J7318	2021-09-14	AY.100	2021-9	2021-37
ME-HETL-J7319	2021-09-14	AY.100	2021-9	2021-37
ME-HETL-J7320	2021-09-14	AY.100	2021-9	2021-37
ME-HETL-J7321	2021-09-14	AY.100	2021-9	2021-37
ME-HETL-J7322	2021-09-14	AY.26	2021-9	2021-37
ME-HETL-J7323	2021-09-14	AY.103	2021-9	2021-37
ME-HETL-J7324	2021-09-13	AY.103	2021-9	2021-37
ME-HETL-J7325	2021-09-13	AY.44	2021-9	2021-37
ME-HETL-J7326	2021-09-13	AY.44	2021-9	2021-37
ME-HETL-J7327	2021-09-13	AY.44	2021-9	2021-37
ME-HETL-J7328	2021-09-13	AY.25.1	2021-9	2021-37
ME-HETL-J7330	2021-09-13	AY.25.1	2021-9	2021-37
ME-HETL-J7331	2021-09-13	AY.3.1	2021-9	2021-37
ME-HETL-J7332	2021-09-13	AY.3.1	2021-9	2021-37
ME-HETL-J7333	2021-09-13	AY.3.1	2021-9	2021-37
ME-HETL-J7334	2021-09-13	AY.3.1	2021-9	2021-37
ME-HETL-J7335	2021-09-13	AY.47	2021-9	2021-37
ME-HETL-J7336	2021-09-12	AY.103	2021-9	2021-37
ME-HETL-J7337	2021-09-13	AY.103	2021-9	2021-37
ME-HETL-J7339	2021-09-12	AY.119.2	2021-9	2021-37
ME-HETL-J7341	2021-09-13	AY.25.1	2021-9	2021-37
ME-HETL-J7343	2021-09-10	AY.47	2021-9	2021-36
ME-HETL-J7344	2021-09-10	AY.25.1	2021-9	2021-36
ME-HETL-J7345	2021-09-10	AY.103	2021-9	2021-36
ME-HETL-J7346	2021-09-10	AY.103	2021-9	2021-36
ME-HETL-J7347	2021-09-10	AY.25.1	2021-9	2021-36
ME-HETL-J7348	2021-09-10	AY.44	2021-9	2021-36
ME-HETL-J7349	2021-09-10	AY.47	2021-9	2021-36
ME-HETL-J7350	2021-09-10	AY.44	2021-9	2021-36
ME-HETL-J7351	2021-09-10	AY.103	2021-9	2021-36
ME-HETL-J7352	2021-09-10	AY.39	2021-9	2021-36
ME-HETL-J7355	2021-09-13	AY.26	2021-9	2021-37
ME-HETL-J7358	2021-09-14	AY.103	2021-9	2021-37
ME-HETL-J7359	2021-09-14	AY.103	2021-9	2021-37
ME-HETL-J7360	2021-09-14	AY.44	2021-9	2021-37
ME-HETL-J7361	2021-09-14	AY.118	2021-9	2021-37
ME-HETL-J7362	2021-09-11	AY.103	2021-9	2021-36
ME-HETL-J7363	2021-09-13	AY.103	2021-9	2021-37
ME-HETL-J7364	2021-09-13	AY.44	2021-9	2021-37
ME-HETL-J7365	2021-09-11	AY.20	2021-9	2021-36
ME-HETL-J7367	2021-09-15	AY.103	2021-9	2021-37
ME-HETL-J7368	2021-09-15	AY.25	2021-9	2021-37
ME-HETL-J7369	2021-09-15	AY.103	2021-9	2021-37
ME-HETL-J7370	2021-09-15	AY.119	2021-9	2021-37
ME-HETL-J7372	2021-09-16	AY.25.1	2021-9	2021-37
ME-HETL-J7468	2021-08-19	B.1.617.2	2021-8	2021-33
ME-HETL-J7469	2021-08-19	AY.100	2021-8	2021-33
ME-HETL-J7470	2021-08-19	AY.100	2021-8	2021-33
ME-HETL-J7471	2021-08-19	AY.25.1	2021-8	2021-33
ME-HETL-J7472	2021-08-19	AY.54	2021-8	2021-33
ME-HETL-J7474	2021-08-19	AY.103	2021-8	2021-33
ME-HETL-J7475	2021-08-19	AY.100	2021-8	2021-33
ME-HETL-J7476	2021-08-19	AY.25	2021-8	2021-33
ME-HETL-J7478	2021-08-19	P.1.13	2021-8	2021-33
ME-HETL-J7479	2021-08-19	AY.3	2021-8	2021-33
ME-HETL-J7480	2021-08-19	AY.25.1	2021-8	2021-33
ME-HETL-J7481	2021-08-19	AY.103	2021-8	2021-33
ME-HETL-J7482	2021-08-19	AY.103	2021-8	2021-33
ME-HETL-J7483	2021-08-19	AY.100	2021-8	2021-33
ME-HETL-J7484	2021-08-19	AY.39	2021-8	2021-33
ME-HETL-J7485	2021-08-19	AY.44	2021-8	2021-33
ME-HETL-J7488	2021-08-19	AY.25	2021-8	2021-33
ME-HETL-J7489	2021-08-19	AY.25	2021-8	2021-33
ME-HETL-J7490	2021-08-19	AY.25.1	2021-8	2021-33
ME-HETL-J7491	2021-08-19	AY.26	2021-8	2021-33
ME-HETL-J7492	2021-08-19	AY.3	2021-8	2021-33
ME-HETL-J7493	2021-08-19	B.1.617.2	2021-8	2021-33
ME-HETL-J7495	2021-08-19	AY.103	2021-8	2021-33
ME-HETL-J7497	2021-08-19	AY.25	2021-8	2021-33
ME-HETL-J7498	2021-08-19	AY.47	2021-8	2021-33
ME-HETL-J7499	2021-08-19	AY.25.1	2021-8	2021-33
ME-HETL-J7500	2021-08-19	AY.103	2021-8	2021-33
ME-HETL-J7501	2021-08-20	AY.39	2021-8	2021-33
ME-HETL-J7502	2021-08-20	AY.25.1	2021-8	2021-33
ME-HETL-J7503	2021-08-20	AY.119	2021-8	2021-33
ME-HETL-J7508	2021-08-20	AY.3	2021-8	2021-33
ME-HETL-J7509	2021-08-20	AY.25	2021-8	2021-33
ME-HETL-J7511	2021-08-20	AY.103	2021-8	2021-33
ME-HETL-J7512	2021-08-20	AY.3	2021-8	2021-33
ME-HETL-J7517	2021-08-20	AY.25.1	2021-8	2021-33
ME-HETL-J7519	2021-08-20	AY.100	2021-8	2021-33
ME-HETL-J7520	2021-08-20	AY.99.2	2021-8	2021-33
ME-HETL-J7521	2021-08-20	AY.103	2021-8	2021-33
ME-HETL-J7522	2021-08-20	AY.103	2021-8	2021-33
ME-HETL-J7523	2021-08-20	AY.103	2021-8	2021-33
ME-HETL-J7524	2021-08-20	AY.119	2021-8	2021-33
ME-HETL-J7526	2021-08-20	AY.25.1	2021-8	2021-33
ME-HETL-J7528	2021-08-20	AY.100	2021-8	2021-33
ME-HETL-J7529	2021-08-20	AY.100	2021-8	2021-33
ME-HETL-J7530	2021-08-20	AY.103	2021-8	2021-33
ME-HETL-J7531	2021-08-20	AY.44	2021-8	2021-33
ME-HETL-J7532	2021-08-20	AY.44	2021-8	2021-33
ME-HETL-J7533	2021-08-20	AY.99.2	2021-8	2021-33
ME-HETL-J7534	2021-08-20	AY.25	2021-8	2021-33
ME-HETL-J7535	2021-08-20	AY.103	2021-8	2021-33
ME-HETL-J7536	2021-08-20	AY.114	2021-8	2021-33
ME-HETL-J7537	2021-08-20	B.1.1.316	2021-8	2021-33
ME-HETL-J7538	2021-08-20	AY.25.1	2021-8	2021-33
ME-HETL-J7539	2021-08-20	AY.25.1	2021-8	2021-33
ME-HETL-J7540	2021-08-20	AY.25.1	2021-8	2021-33
ME-HETL-J7543	2021-08-20	AY.103	2021-8	2021-33
ME-HETL-J7544	2021-08-20	B.1.1.7	2021-8	2021-33
ME-HETL-J7545	2021-08-20	AY.103	2021-8	2021-33
ME-HETL-J7546	2021-08-20	AY.103	2021-8	2021-33
ME-HETL-J7547	2021-08-20	AY.3	2021-8	2021-33
ME-HETL-J7548	2021-08-20	AY.25.1	2021-8	2021-33
ME-HETL-J7550	2021-08-21	AY.103	2021-8	2021-33
ME-HETL-J7551	2021-08-21	AY.103	2021-8	2021-33
ME-HETL-J7552	2021-08-21	AY.47	2021-8	2021-33
ME-HETL-J7554	2021-08-21	AY.25.1	2021-8	2021-33
ME-HETL-J7555	2021-08-21	AY.103	2021-8	2021-33
ME-HETL-J7556	2021-08-21	B.1.526	2021-8	2021-33
ME-HETL-J7557	2021-08-21	AY.25.1	2021-8	2021-33
ME-HETL-J7558	DateMissing	AY.25.1	DateMissing-Past	DateMissing-Past
ME-HETL-J7559	DateMissing	AY.103	DateMissing-Past	DateMissing-Past
ME-HETL-J7560	DateMissing	AY.99.2	DateMissing-Past	DateMissing-Past
ME-HETL-J7561	DateMissing	AY.114	DateMissing-Past	DateMissing-Past
ME-HETL-J7562	DateMissing	AY.64	DateMissing-Past	DateMissing-Past
ME-HETL-J7563	2021-08-17	AY.25	2021-8	2021-33
ME-HETL-J7569	2021-08-17	AY.26	2021-8	2021-33
ME-HETL-J7571	2021-08-17	AY.3	2021-8	2021-33
ME-HETL-J7572	2021-08-17	AY.103	2021-8	2021-33
ME-HETL-J7573	2021-08-17	AY.25	2021-8	2021-33
ME-HETL-J7575	2021-08-17	AY.103	2021-8	2021-33
ME-HETL-J7576	2021-08-17	AY.103	2021-8	2021-33
ME-HETL-J7577	2021-08-17	AY.103	2021-8	2021-33
ME-HETL-J7578	2021-08-17	AY.25.1	2021-8	2021-33
ME-HETL-J7580	2021-08-17	AY.26	2021-8	2021-33
ME-HETL-J7581	2021-08-17	AY.3	2021-8	2021-33
ME-HETL-J7582	2021-08-18	AY.25	2021-8	2021-33
ME-HETL-J7583	2021-08-18	AY.103	2021-8	2021-33
ME-HETL-J7584	2021-08-18	AY.103	2021-8	2021-33
ME-HETL-J7585	2021-08-18	AY.25.1	2021-8	2021-33
ME-HETL-J7586	2021-08-18	AY.103	2021-8	2021-33
ME-HETL-J7587	2021-08-18	B.1.526	2021-8	2021-33
ME-HETL-J7588	2021-08-18	AY.103	2021-8	2021-33
ME-HETL-J7590	2021-08-18	AY.100	2021-8	2021-33
ME-HETL-J7591	2021-08-18	AY.100	2021-8	2021-33
ME-HETL-J7592	2021-08-18	AY.100	2021-8	2021-33
ME-HETL-J7593	2021-08-18	AY.103	2021-8	2021-33
ME-HETL-J7595	2021-08-18	AY.25.1	2021-8	2021-33
ME-HETL-J7596	2021-08-18	AY.25	2021-8	2021-33
ME-HETL-J7597	2021-08-18	AY.100	2021-8	2021-33
ME-HETL-J7598	2021-08-18	AY.103	2021-8	2021-33
ME-HETL-J7600	2021-08-18	AY.25	2021-8	2021-33
ME-HETL-J7601	2021-08-18	AY.25.1	2021-8	2021-33
ME-HETL-J7602	2021-08-18	AY.103	2021-8	2021-33
ME-HETL-J7603	2021-08-18	AY.25	2021-8	2021-33
ME-HETL-J7605	2021-08-18	AY.103	2021-8	2021-33
ME-HETL-J7606	2021-08-18	AY.103	2021-8	2021-33
ME-HETL-J7608	2021-08-18	AY.118	2021-8	2021-33
ME-HETL-J7609	2021-08-18	AY.25.1	2021-8	2021-33
ME-HETL-J7612	2021-08-18	AY.25.1	2021-8	2021-33
ME-HETL-J7613	2021-08-18	AY.25.1	2021-8	2021-33
ME-HETL-J7614	2021-08-18	AY.25	2021-8	2021-33
ME-HETL-J7617	2021-08-18	AY.25.1	2021-8	2021-33
ME-HETL-J7621	2021-08-18	AY.103	2021-8	2021-33
ME-HETL-J7622	2021-08-18	AY.3	2021-8	2021-33
ME-HETL-J7624	2021-08-18	AY.39	2021-8	2021-33
ME-HETL-J7625	2021-08-18	AY.3	2021-8	2021-33
ME-HETL-J7626	2021-08-18	AY.3	2021-8	2021-33
ME-HETL-J7627	2021-08-18	AY.3	2021-8	2021-33
ME-HETL-J7628	2021-08-18	AY.44	2021-8	2021-33
ME-HETL-J7629	2021-08-18	AY.103	2021-8	2021-33
ME-HETL-J7630	2021-08-18	AY.103	2021-8	2021-33
ME-HETL-J7631	2021-08-18	AY.3	2021-8	2021-33
ME-HETL-J7634	2021-08-18	AY.119.2	2021-8	2021-33
ME-HETL-J7635	2021-08-18	AY.47	2021-8	2021-33
ME-HETL-J7637	2021-08-18	AY.3	2021-8	2021-33
ME-HETL-J7639	2021-08-18	AY.3	2021-8	2021-33
ME-HETL-J7640	2021-08-18	AY.47	2021-8	2021-33
ME-HETL-J7641	2021-08-18	AY.103	2021-8	2021-33
ME-HETL-J7642	2021-08-18	AY.103	2021-8	2021-33
ME-HETL-J7643	2021-08-18	AY.103	2021-8	2021-33
ME-HETL-J7644	2021-08-18	AY.119	2021-8	2021-33
ME-HETL-J7645	2021-08-18	AY.103	2021-8	2021-33
ME-HETL-J7649	2021-08-19	AY.103	2021-8	2021-33
ME-HETL-J7650	2021-08-19	AY.103	2021-8	2021-33
ME-HETL-J7651	2021-08-19	B.1.526	2021-8	2021-33
ME-HETL-J7652	2021-08-19	AY.25.1	2021-8	2021-33
ME-HETL-J7653	2021-08-19	AY.119.2	2021-8	2021-33
ME-HETL-J7655	2021-08-19	AY.103	2021-8	2021-33
ME-HETL-J7658	2021-08-31	AY.3	2021-8	2021-35
ME-HETL-J7659	2021-08-31	AY.103	2021-8	2021-35
ME-HETL-J7660	2021-09-01	AY.3	2021-9	2021-35
ME-HETL-J7662	2021-08-27	AY.103	2021-8	2021-34
ME-HETL-J7665	2021-08-25	AY.47	2021-8	2021-34
ME-HETL-J7666	2021-08-27	AY.25	2021-8	2021-34
ME-HETL-J7667	2021-08-25	AY.103	2021-8	2021-34
ME-HETL-J7668	2021-08-31	AY.103	2021-8	2021-35
ME-HETL-J7669	2021-09-07	AY.103	2021-9	2021-36
ME-HETL-J7671	2021-09-13	AY.103	2021-9	2021-37
ME-HETL-J7672	2021-09-07	AY.103	2021-9	2021-36
ME-HETL-J7673	2021-09-08	AY.25.1	2021-9	2021-36
ME-HETL-J7674	2021-09-08	AY.103	2021-9	2021-36
ME-HETL-J7675	2021-09-09	AY.103	2021-9	2021-36
ME-HETL-J7676	2021-09-09	AY.117	2021-9	2021-36
ME-HETL-J7677	2021-09-09	AY.25.1	2021-9	2021-36
ME-HETL-J7679	2021-09-09	AY.25.1	2021-9	2021-36
ME-HETL-J7680	2021-09-09	AY.117	2021-9	2021-36
ME-HETL-J7681	2021-09-09	AY.103	2021-9	2021-36
ME-HETL-J7682	2021-09-09	AY.103	2021-9	2021-36
ME-HETL-J7684	2021-09-09	AY.26	2021-9	2021-36
ME-HETL-J7685	2021-09-09	AY.25.1	2021-9	2021-36
ME-HETL-J7686	DateMissing	AY.25.1	DateMissing-Past	DateMissing-Past
ME-HETL-J7687	2021-09-09	AY.25	2021-9	2021-36
ME-HETL-J7688	2021-09-10	AY.103	2021-9	2021-36
ME-HETL-J7689	2021-09-10	AY.25	2021-9	2021-36
ME-HETL-J7692	2021-09-11	AY.26	2021-9	2021-36
ME-HETL-J7693	2021-09-11	AY.26	2021-9	2021-36
ME-HETL-J7694	2021-09-10	AY.3	2021-9	2021-36
ME-HETL-J7696	2021-09-12	AY.103	2021-9	2021-37
ME-HETL-J7697	2021-09-13	AY.103	2021-9	2021-37
ME-HETL-J7698	DateMissing	AY.103	DateMissing-Past	DateMissing-Past
ME-HETL-J7699	DateMissing	AY.47	DateMissing-Past	DateMissing-Past
ME-HETL-J7700	DateMissing	AY.25.1	DateMissing-Past	DateMissing-Past
ME-HETL-J7701	DateMissing	AY.47	DateMissing-Past	DateMissing-Past
ME-HETL-J7702	DateMissing	AY.25.1	DateMissing-Past	DateMissing-Past
ME-HETL-J7703	DateMissing	AY.103	DateMissing-Past	DateMissing-Past
ME-HETL-J7704	DateMissing	AY.103	DateMissing-Past	DateMissing-Past
ME-HETL-J7707	DateMissing	AY.103	DateMissing-Past	DateMissing-Past
ME-HETL-J7708	DateMissing	AY.103	DateMissing-Past	DateMissing-Past
ME-HETL-J7709	DateMissing	AY.103	DateMissing-Past	DateMissing-Past
ME-HETL-J7710	DateMissing	AY.103	DateMissing-Past	DateMissing-Past
ME-HETL-J7711	DateMissing	AY.114	DateMissing-Past	DateMissing-Past
ME-HETL-J7713	DateMissing	AY.103	DateMissing-Past	DateMissing-Past
ME-HETL-J7715	DateMissing	AY.103	DateMissing-Past	DateMissing-Past
ME-HETL-J7716	DateMissing	AY.47	DateMissing-Past	DateMissing-Past
ME-HETL-J7717	DateMissing	AY.47	DateMissing-Past	DateMissing-Past
ME-HETL-J7718	DateMissing	AY.25.1	DateMissing-Past	DateMissing-Past
ME-HETL-J7719	DateMissing	AY.26	DateMissing-Past	DateMissing-Past
ME-HETL-J7720	DateMissing	AY.44	DateMissing-Past	DateMissing-Past
ME-HETL-J7722	DateMissing	AY.25	DateMissing-Past	DateMissing-Past
ME-HETL-J7724	DateMissing	AY.25	DateMissing-Past	DateMissing-Past
ME-HETL-J7725	2021-09-09	AY.3	2021-9	2021-36
ME-HETL-J7726	2021-09-09	AY.103	2021-9	2021-36
ME-HETL-J7727	2021-09-12	AY.25	2021-9	2021-37
ME-HETL-J7728	2021-09-09	AY.46.1	2021-9	2021-36
ME-HETL-J7729	2021-09-09	AY.3	2021-9	2021-36
ME-HETL-J7730	2021-09-09	B.1.617.2	2021-9	2021-36
ME-HETL-J7731	2021-09-09	AY.47	2021-9	2021-36
ME-HETL-J7732	2021-09-09	AY.25	2021-9	2021-36
ME-HETL-J7734	2021-09-11	AY.25	2021-9	2021-36
ME-HETL-J7735	2021-09-11	AY.3	2021-9	2021-36
ME-HETL-J7736	2021-09-11	AY.25	2021-9	2021-36
ME-HETL-J7737	2021-09-11	AY.25.1	2021-9	2021-36
ME-HETL-J7738	2021-09-11	AY.103	2021-9	2021-36
ME-HETL-J7739	2021-09-11	AY.44	2021-9	2021-36
ME-HETL-J7740	2021-09-11	AY.4	2021-9	2021-36
ME-HETL-J7741	2021-09-11	AY.25.1	2021-9	2021-36
ME-HETL-J7742	2021-09-12	AY.25	2021-9	2021-37
ME-HETL-J7743	2021-09-12	AY.117	2021-9	2021-37
ME-HETL-J7744	2021-09-09	AY.44	2021-9	2021-36
ME-HETL-J7745	2021-09-11	AY.26	2021-9	2021-36
ME-HETL-J7746	2021-09-13	AY.113	2021-9	2021-37
ME-HETL-J7747	2021-09-09	AY.119	2021-9	2021-36
ME-HETL-J7748	2021-09-12	AY.103	2021-9	2021-37
ME-HETL-J7749	2021-09-12	AY.113	2021-9	2021-37
ME-HETL-J7750	2021-09-12	AY.103	2021-9	2021-37
ME-HETL-J7751	2021-09-11	AY.3	2021-9	2021-36
ME-HETL-J7752	2021-09-09	AY.25	2021-9	2021-36
ME-HETL-J7373	DateMissing	B.1.429	DateMissing-Past	DateMissing-Past
ME-HETL-J7374	2021-04-15	P.1	2021-4	2021-15
ME-HETL-J7375	2021-04-15	P.1	2021-4	2021-15
ME-HETL-J7377	2021-04-15	P.1	2021-4	2021-15
ME-HETL-J7378	2021-04-15	P.2	2021-4	2021-15
ME-HETL-J7379	2021-04-14	B.1.526	2021-4	2021-15
ME-HETL-J7380	2021-04-16	P.1	2021-4	2021-15
ME-HETL-J7381	2021-04-16	P.1.13	2021-4	2021-15
ME-HETL-J7383	DateMissing	P.1.13	DateMissing-Past	DateMissing-Past
ME-HETL-J7386	DateMissing	B.1.637	DateMissing-Past	DateMissing-Past
ME-HETL-J7387	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7388	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7389	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7390	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7391	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7392	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7393	DateMissing	Q.4	DateMissing-Past	DateMissing-Past
ME-HETL-J7394	DateMissing	Q.4	DateMissing-Past	DateMissing-Past
ME-HETL-J7395	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7397	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7398	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7399	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7400	DateMissing	B.1.621.1	DateMissing-Past	DateMissing-Past
ME-HETL-J7401	DateMissing	B.1.637	DateMissing-Past	DateMissing-Past
ME-HETL-J7402	DateMissing	B.1.2	DateMissing-Past	DateMissing-Past
ME-HETL-J7403	DateMissing	B.1.637	DateMissing-Past	DateMissing-Past
ME-HETL-J7404	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7405	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7406	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7407	DateMissing	B.1.637	DateMissing-Past	DateMissing-Past
ME-HETL-J7408	DateMissing	B.1.2	DateMissing-Past	DateMissing-Past
ME-HETL-J7409	DateMissing	B.1.637	DateMissing-Past	DateMissing-Past
ME-HETL-J7410	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7414	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7415	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7416	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7417	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7418	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7419	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7421	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7422	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7423	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7424	DateMissing	B.1.429	DateMissing-Past	DateMissing-Past
ME-HETL-J7426	DateMissing	B.1.637	DateMissing-Past	DateMissing-Past
ME-HETL-J7427	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7428	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7429	DateMissing	B.1.2	DateMissing-Past	DateMissing-Past
ME-HETL-J7430	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7431	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7432	DateMissing	B.1.2	DateMissing-Past	DateMissing-Past
ME-HETL-J7433	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7434	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7435	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7436	DateMissing	B.1	DateMissing-Past	DateMissing-Past
ME-HETL-J7438	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7439	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7440	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7441	DateMissing	B.1	DateMissing-Past	DateMissing-Past
ME-HETL-J7442	DateMissing	B.1.1.316	DateMissing-Past	DateMissing-Past
ME-HETL-J7443	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7444	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7445	DateMissing	B.1.2	DateMissing-Past	DateMissing-Past
ME-HETL-J7447	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7448	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7449	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7450	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7451	DateMissing	B.1.637	DateMissing-Past	DateMissing-Past
ME-HETL-J7452	DateMissing	B.1.2	DateMissing-Past	DateMissing-Past
ME-HETL-J7453	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7454	DateMissing	B.1.517	DateMissing-Past	DateMissing-Past
ME-HETL-J7455	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7456	DateMissing	B.1.637	DateMissing-Past	DateMissing-Past
ME-HETL-J7458	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7459	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7461	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7462	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7463	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7464	DateMissing	B.1.526	DateMissing-Past	DateMissing-Past
ME-HETL-J7465	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7466	DateMissing	B.1.1.7	DateMissing-Past	DateMissing-Past
ME-HETL-J7467	DateMissing	B.1.637	DateMissing-Past	DateMissing-Past
ME-HETL-J7753	2021-09-17	AY.100	2021-9	2021-37
ME-HETL-J7754	2021-09-18	AY.44	2021-9	2021-37
ME-HETL-J7755	2021-09-18	AY.44	2021-9	2021-37
ME-HETL-J7757	2021-09-20	AY.44	2021-9	2021-38
ME-HETL-J7759	2021-09-20	AY.103	2021-9	2021-38
ME-HETL-J7760	2021-09-20	AY.119	2021-9	2021-38
ME-HETL-J7761	2021-09-20	AY.103	2021-9	2021-38
ME-HETL-J7762	2021-09-20	AY.103	2021-9	2021-38
ME-HETL-J7763	2021-09-20	AY.44	2021-9	2021-38
ME-HETL-J7764	2021-09-21	AY.119.2	2021-9	2021-38
ME-HETL-J7765	2021-09-21	AY.25.1	2021-9	2021-38
ME-HETL-J7766	2021-09-21	AY.25	2021-9	2021-38
ME-HETL-J7767	2021-09-21	AY.100	2021-9	2021-38
ME-HETL-J7768	2021-09-21	AY.100	2021-9	2021-38
ME-HETL-J7769	2021-09-21	AY.100	2021-9	2021-38
ME-HETL-J7770	2021-09-20	AY.100	2021-9	2021-38
ME-HETL-J7771	2021-09-23	AY.103	2021-9	2021-38
ME-HETL-J7772	2021-09-23	AY.103	2021-9	2021-38
ME-HETL-J7775	2021-09-22	AY.3	2021-9	2021-38
ME-HETL-J7776	2021-09-22	AY.3	2021-9	2021-38
ME-HETL-J7778	DateMissing	AY.25	DateMissing-Past	DateMissing-Past
ME-HETL-J7779	2021-09-24	AY.25	2021-9	2021-38
ME-HETL-J7780	2021-09-24	AY.103	2021-9	2021-38
ME-HETL-J7783	2021-09-21	AY.103	2021-9	2021-38
ME-HETL-J7785	2021-09-21	AY.25	2021-9	2021-38
ME-HETL-J7788	2021-09-24	AY.103	2021-9	2021-38
ME-HETL-J7789	2021-09-25	AY.103	2021-9	2021-38
ME-HETL-J7790	2021-09-24	AY.47	2021-9	2021-38
ME-HETL-J7791	2021-09-20	AY.25.1	2021-9	2021-38
ME-HETL-J7793	2021-09-20	AY.3	2021-9	2021-38
ME-HETL-J7794	2021-09-20	AY.25.1	2021-9	2021-38
ME-HETL-J7795	2021-09-20	AY.25.1	2021-9	2021-38
ME-HETL-J7796	2021-09-20	AY.25.1	2021-9	2021-38
ME-HETL-J7797	2021-09-20	AY.25.1	2021-9	2021-38
ME-HETL-J7798	2021-09-20	AY.26	2021-9	2021-38
ME-HETL-J7800	2021-09-23	AY.44	2021-9	2021-38
ME-HETL-J7801	2021-09-23	AY.44	2021-9	2021-38
ME-HETL-J7803	2021-09-21	AY.122	2021-9	2021-38
ME-HETL-J7805	2021-09-21	AY.119	2021-9	2021-38
ME-HETL-J7806	2021-09-21	AY.103	2021-9	2021-38
ME-HETL-J7808	2021-09-23	AY.3	2021-9	2021-38
ME-HETL-J7809	2021-09-23	AY.3	2021-9	2021-38
ME-HETL-J7810	2021-09-23	AY.3	2021-9	2021-38
ME-HETL-J7811	2021-09-23	AY.3	2021-9	2021-38
ME-HETL-J7813	2021-09-21	AY.47	2021-9	2021-38
ME-HETL-J7815	2021-09-21	AY.26	2021-9	2021-38
ME-HETL-J7816	2021-09-23	AY.44	2021-9	2021-38
ME-HETL-J7818	2021-09-23	AY.44	2021-9	2021-38
ME-HETL-J7819	2021-09-23	AY.44	2021-9	2021-38
ME-HETL-J7820	2021-09-24	AY.103	2021-9	2021-38
ME-HETL-J7821	2021-09-24	AY.103	2021-9	2021-38
